"","Name","POS","Age","Exp","College","team"
"1","Kyler Murray","QB",26,6,"Oklahoma","ARI"
"2","Desmond Ridder","QB",24,3,"Cincinnati","ARI"
"3","Clayton Tune","QB",25,2,"Houston","ARI"
"4","Trey Benson","RB",22,0,"Florida State","ARI"
"5","Michael Carter","RB",25,4,"North Carolina","ARI"
"6","James Conner","RB",29,8,"Pittsburgh","ARI"
"7","DeeJay Dallas","RB",25,5,"Miami","ARI"
"8","Emari Demercado","RB",25,2,"TCU","ARI"
"9","Tony Jones Jr.","RB",26,4,"Notre Dame","ARI"
"10","Daniel Arias","WR",25,1,"Colorado","ARI"
"11","Andre Baccellia","WR",27,2,"Washington","ARI"
"12","Dan Chisena","WR",27,4,"Penn State","ARI"
"13","Greg Dortch","WR",26,4,"Wake Forest","ARI"
"14","Marvin Harrison Jr.","WR",21,0,"Ohio State","ARI"
"15","Zay Jones","WR",29,8,"East Carolina","ARI"
"16","Chris Moore","WR",31,9,"Cincinnati","ARI"
"17","Tejhaun Palmer","WR",24,0,"UAB","ARI"
"18","Zach Pascal","WR",29,7,"Old Dominion","ARI"
"19","Jeff Smith","WR",27,4,"Boston College","ARI"
"20","Xavier Weaver","WR",23,0,"Colorado","ARI"
"21","Michael Wilson","WR",24,2,"Stanford","ARI"
"22","Elijah Higgins","TE",23,2,"Stanford","ARI"
"23","Trey McBride","TE",24,3,"Colorado State","ARI"
"24","Tip Reiman","TE",22,0,"Illinois","ARI"
"25","Bernhard Seikovits","TE",27,1,"--","ARI"
"26","Travis Vokolek","TE",26,1,"Nebraska","ARI"
"27","Blake Whiteheart","TE",24,2,"Wake Forest","ARI"
"28","Kirk Cousins","QB",35,13,"Michigan State","ATL"
"29","Taylor Heinicke","QB",31,10,"Old Dominion","ATL"
"30","Michael Penix Jr.","QB",24,0,"Washington","ATL"
"31","Nathan Rourke","QB",26,1,"Ohio","ATL"
"32","Tyler Allgeier","RB",24,3,"BYU","ATL"
"33","Robert Burns","RB",25,1,"UConn","ATL"
"34","Jase McClellan","RB",22,0,"Alabama","ATL"
"35","Bijan Robinson","RB",22,2,"Texas","ATL"
"36","Carlos Washington Jr.","RB",25,1,"SE Louisiana","ATL"
"37","Avery Williams","RB",26,4,"Boise State","ATL"
"38","Josh Ali","WR",25,2,"Kentucky","ATL"
"39","Chris Blair","WR",26,1,"Alcorn State","ATL"
"40","Dylan Drummond","WR",24,1,"Eastern Michigan","ATL"
"41","OJ Hiliare","WR",23,0,"Bowling Green","ATL"
"42","KhaDarel Hodge","WR",29,5,"Prairie View A&M","ATL"
"43","Drake London","WR",23,3,"USC","ATL"
"44","Austin Mack","WR",26,2,"Ohio State","ATL"
"45","Jesse Matthews","WR",24,2,"San Diego State","ATL"
"46","Ray-Ray McCloud III","WR",27,7,"Clemson","ATL"
"47","Darnell Mooney","WR",26,5,"Tulane","ATL"
"48","Rondale Moore","WR",24,4,"Purdue","ATL"
"49","Casey Washington","WR",23,0,"Illinois","ATL"
"50","James Washington","WR",28,6,"Oklahoma State","ATL"
"51","Ross Dwelley","TE",29,7,"San Diego","ATL"
"52","John FitzPatrick","TE",24,3,"Georgia","ATL"
"53","Kyle Pitts","TE",23,4,"Florida","ATL"
"54","Austin Stogner","TE",24,0,"Oklahoma","ATL"
"55","Jordan Thomas","TE",28,4,"Mississippi State","ATL"
"56","Charlie Woerner","TE",26,5,"Georgia","ATL"
"57","Lamar Jackson","QB",27,7,"Louisville","BAL"
"58","Josh Johnson","QB",38,10,"San Diego","BAL"
"59","Emory Jones","QB",24,0,"Cincinnati","BAL"
"60","Devin Leary","QB",24,0,"Kentucky","BAL"
"61","Rasheen Ali","RB",23,0,"Marshall","BAL"
"62","Chris Collier","RB",24,0,"Lock Haven University","BAL"
"63","Derrick Henry","RB",30,9,"Alabama","BAL"
"64","Justice Hill","RB",26,6,"Oklahoma State","BAL"
"65","Keaton Mitchell","RB",22,2,"East Carolina","BAL"
"66","Owen Wright","RB",25,1,"Monmouth","BAL"
"67","Nelson Agholor","WR",31,10,"USC","BAL"
"68","Rashod Bateman","WR",24,4,"Minnesota","BAL"
"69","Malik Cunningham","WR",25,2,"Louisville","BAL"
"70","Zay Flowers","WR",23,2,"Boston College","BAL"
"71","Deonte Harty","WR",26,6,"Assumption","BAL"
"72","Keith Kirkwood","WR",30,5,"Temple","BAL"
"73","Sean Ryan","WR",25,1,"Rutgers","BAL"
"74","Dayton Wade","WR",23,0,"Ole Miss","BAL"
"75","Devontez Walker","WR",23,0,"North Carolina","BAL"
"76","Tylan Wallace","WR",25,4,"Oklahoma State","BAL"
"77","Isaiah Washington","WR",23,0,"Rutgers","BAL"
"78","Mark Andrews","TE",28,7,"Oklahoma","BAL"
"79","Qadir Ismail","TE",24,0,"Samford","BAL"
