"","team","off_yd","p_yd","car","r_yd","r_td","p_ff","p_att","cmp_pct","p_td","int","fmb"
"1","ARI",5835,3962,434,1873,15,1401.98,663,0.65158371040724,17,17,6
"2","ATL",5645,2927,559,2718,17,1188.58,415,0.619277108433735,17,9,6
"3","BAL",5922,3202,526,2720,14,1264.28,488,0.614754098360656,19,13,5
"4","BUF",6523,4291,430,2232,15,1590.94,574,0.628919860627178,35,14,10
"5","CAR",5454,3246,482,2208,16,1164.24,457,0.584245076586433,16,13,3
"6","CHI",5612,2598,558,3014,18,1144.12,377,0.591511936339523,19,15,4
"7","CIN",6048,4520,399,1528,14,1615.6,610,0.685245901639344,35,12,3
"8","CLE",6200,3710,532,2490,19,1375.4,540,0.62037037037037,19,12,5
"9","DAL",6209,3911,530,2298,24,1514.34,556,0.638489208633094,28,18,1
"10","DEN",5942,4007,444,1935,11,1305.48,571,0.604203152364273,18,15,6
"11","DET",6562,4438,478,2124,23,1631.42,587,0.65076660988075,29,7,6
"12","GB",6003,3890,455,2113,12,1429.9,563,0.646536412078153,27,12,5
"13","HOU",5115,3642,397,1473,7,1201.18,579,0.607944732297064,20,19,7
"14","IND",5720,3854,439,1866,8,1278.16,604,0.658940397350993,17,20,10
"15","JAX",6264,4148,448,2116,16,1502.32,596,0.661073825503356,25,9,12
"16","KC",7220,5250,417,1970,18,1859,650,0.669230769230769,41,12,2
"17","LAC",6315,4791,404,1524,15,1630.14,711,0.682137834036568,26,10,5
"18","LA",0,0,0,0,0,0,0,NA,0,0,0
"19","LV",6242,4182,427,2060,12,1462.48,586,0.612627986348123,28,17,1
"20","MIA",6451,4765,389,1686,12,1533.7,584,0.63013698630137,30,15,4
"21","MIN",6466,4805,404,1661,18,1668.1,670,0.667164179104478,30,15,7
"22","NE",5647,3815,425,1832,12,1279.5,540,0.662962962962963,19,14,5
"23","NO",5951,3969,465,1982,12,1365.86,512,0.66015625,24,14,5
"24","NYG",5953,3431,518,2522,21,1360.54,520,0.665384615384615,17,6,4
"25","NYJ",5707,4023,404,1684,13,1272.32,625,0.5696,15,14,7
"26","PHI",6873,4364,544,2509,32,1619.86,536,0.652985074626866,25,9,4
"27","PIT",5730,3661,499,2069,16,1277.44,571,0.637478108581436,12,14,2
"28","SEA",6339,4282,422,2057,12,1536.18,573,0.696335078534031,30,12,4
"29","SF",6409,4049,504,2360,20,1526.86,512,0.66015625,30,9,5
"30","TB",6054,4746,386,1308,5,1552.24,751,0.664447403462051,26,10,5
"31","TEN",5358,3227,487,2131,16,1173.88,456,0.625,17,11,8
"32","WAS",5926,3783,538,2143,9,1343.92,554,0.620938628158845,24,16,7
