"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","J.Hurts",460,306,"66.52%",3701,22,6,760,13,2,378.04,15,378.525,NA,NA,NA,NA,NA,NA,NA
"2","G.Minshew",76,44,"57.89%",663,3,3,3,1,1,36.82,5,40.875,NA,NA,NA,NA,NA,NA,NA
"3","M.Sanders",NA,NA,NA,NA,NA,NA,1269,11,2,196.7,17,NA,259,20,78,NA,NA,NA,NA
"4","K.Gainwell",NA,NA,NA,NA,NA,NA,240,4,0,64.9,17,NA,53,23,169,NA,NA,NA,NA
"5","B.Scott",NA,NA,NA,NA,NA,NA,217,3,0,41.2,13,NA,54,5,15,NA,NA,NA,NA
"6","D.Goedert",NA,NA,NA,NA,NA,NA,NA,0,1,NA,12,NA,0,55,NA,702,3,0,141.2
"7","J.Stoll",NA,NA,NA,NA,NA,NA,NA,0,0,NA,9,NA,0,11,NA,123,0,0,23.3
"8","G.Calcaterra",NA,NA,NA,NA,NA,NA,NA,0,0,NA,5,NA,0,5,NA,81,0,0,13.1
"9","N.Togiai",NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,0,0,NA,0,0,0,0
