"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","J.Burrow",606,414,"68.32%",4475,35,12,257,5,3,350.7,16,377.575,NA,NA,NA,NA,NA,NA,NA
"2","B.Allen",3,3,"100.00%",22,0,0,-1,0,0,0.78,1,0.45,NA,NA,NA,NA,NA,NA,NA
"3","J.Mixon",NA,NA,NA,NA,NA,NA,814,7,0,179.5,14,NA,210,60,441,NA,NA,NA,NA
"4","S.Perine",NA,NA,NA,NA,NA,NA,394,2,0,104.1,16,NA,95,38,287,NA,NA,NA,NA
"5","T.Williams",NA,NA,NA,NA,NA,NA,30,0,0,6,4,NA,6,2,30,NA,NA,NA,NA
"6","H.Hurst",NA,NA,NA,NA,NA,NA,NA,0,0,NA,13,NA,0,52,NA,414,2,0,105.4
"7","M.Wilcox",NA,NA,NA,NA,NA,NA,NA,0,0,NA,9,NA,0,17,NA,139,1,0,36.9
"8","D.Asiasi",NA,NA,NA,NA,NA,NA,NA,0,0,NA,3,NA,0,2,NA,5,0,0,2.5
"9","D.Sample",NA,NA,NA,NA,NA,NA,NA,0,0,NA,2,NA,0,2,NA,-2,0,0,1.8
