"","player_name","attempts","completions","comp_pct","pass_yd","pass_td","int","rush_yd","rush_td","fumbles_lost","fantasy_points","weeks_played","calc_fantasy_unfinished","carries","receptions","receiving_yards","rec_yds","rec_tds","rush_yards","fantasy_ppr"
"1","J.Allen",567,359,"63.32%",4283,35,14,762,7,5,395.52,16,435.275,NA,NA,NA,NA,NA,NA,NA
"2","C.Keenum",7,2,"28.57%",8,0,0,0,0,0,0.32,2,0.2,NA,NA,NA,NA,NA,NA,NA
"3","D.Singletary",NA,NA,NA,NA,NA,NA,819,5,3,139.9,16,NA,177,38,280,NA,NA,NA,NA
"4","J.Cook",NA,NA,NA,NA,NA,NA,507,2,1,84.7,16,NA,89,21,180,NA,NA,NA,NA
"5","N.Hines",NA,NA,NA,NA,NA,NA,-3,0,0,23,9,NA,6,5,53,NA,NA,NA,NA
"6","Z.Moss",NA,NA,NA,NA,NA,NA,91,0,1,9.8,5,NA,17,7,27,NA,NA,NA,NA
"7","D.Knox",NA,NA,NA,NA,NA,NA,NA,0,0,NA,15,NA,0,48,NA,517,6,0,135.7
"8","Q.Morris",NA,NA,NA,NA,NA,NA,NA,0,1,NA,6,NA,0,8,NA,84,1,0,20.4
"9","T.Sweeney",NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,0,1,NA,7,0,0,1.7
