Name,POS,Age,Exp,College,team
Ja'Seem Reed,WR,23,1,San Diego,CAR
Jalen Coker,WR,24,2,Holy Cross,CAR
Jimmy Horn Jr.,WR,23,1,Colorado; University of South Florida,CAR
John Metchie III,WR,25,4,Alabama,CAR
Tetairoa McMillan,WR,23,1,Arizona,CAR
Xavier Legette,WR,25,2,South Carolina,CAR
Caleb Williams,QB,24,2,USC; Oklahoma,CHI
Case Keenum,QB,38,14,Houston,CHI
Miller Moss,QB,24,0,--,CHI
Tyson Bagent,QB,25,3,Shepherd,CHI
Brittain Brown,RB,28,4,UCLA,CHI
D'Andre Swift,RB,27,6,Georgia,CHI
Deion Hankins,RB,25,1,Texas State-San Marcos,CHI
Kyle Monangai,RB,23,1,Rutgers,CHI
Roschon Johnson,RB,25,3,Texas,CHI
Cole Kmet,TE,27,6,Notre Dame,CHI
Colston Loveland,TE,22,1,Michigan,CHI
Nikola Kalinic,TE,29,4,York (Canada),CHI
Qadir Ismail,TE,26,2,Samford; Villanova,CHI
Stephen Carlson,TE,29,7,Princeton,CHI
JP Richardson,WR,24,1,TCU; Oklahoma State,CHI
Jahdae Walker,WR,23,1,Texas A&M; Grand Valley,CHI
Kalif Raymond,WR,31,10,Holy Cross,CHI
Luther Burden III,WR,22,1,Missouri,CHI
Maurice Alexander,WR,29,4,Florida International,CHI
Rome Odunze,WR,23,2,Washington,CHI
Joe Burrow,QB,29,6,LSU; Ohio State,CIN
Joe Flacco,QB,41,18,Delaware; Pittsburgh,CIN
Josh Johnson,QB,39,18,San Diego,CIN
Sean Clifford,QB,27,3,Penn State,CIN
Chase Brown,RB,26,3,Illinois; Western Michigan,CIN
Gary Brightwell,RB,28,5,Arizona,CIN
Kendall Milton,RB,24,2,Georgia,CIN
Kentrel Bullock,RB,24,0,--,CIN
Samaje Perine,RB,30,9,Oklahoma,CIN
Tahj Brooks,RB,24,1,Texas Tech,CIN
Cam Grandy,TE,26,2,Illinois State; Missouri Western,CIN
Drew Sample,TE,30,7,Washington,CIN
Erick All,TE,25,2,Iowa; Michigan,CIN
Mike Gesicki,TE,30,8,Penn State,CIN
Tanner Hudson,TE,31,8,Southern Arkansas; Memphis,CIN
Andrei Iosivas,WR,26,3,Princeton,CIN
Charlie Jones,WR,27,3,Purdue; Iowa,CIN
Ja'Marr Chase,WR,26,5,LSU,CIN
Jordan Moore,WR,24,1,Duke,CIN
Ke'Shawn Williams,WR,24,1,Indiana; Wake Forest,CIN
Kendric Pryor,WR,28,4,Wisconsin,CIN
Mitchell Tinsley,WR,26,3,Penn State; Western Kentucky,CIN
Tee Higgins,WR,27,6,Clemson,CIN
Xavier Johnson,WR,27,2,Ohio State,CIN
Deshaun Watson,QB,30,9,Clemson,CLE
Dillon Gabriel,QB,25,1,Oregon; Oklahoma; UCF,CLE
Shedeur Sanders,QB,24,1,Colorado; Jackson State University,CLE
Taylen Green,QB,23,0,--,CLE
Ahmani Marshall,RB,24,1,Appalachian State; Wake Forest,CLE
Dylan Sampson,RB,21,1,Tennessee,CLE
Michael Burton,RB,34,11,Rutgers,CLE
Quinshon Judkins,RB,22,1,Ohio State; Mississippi,CLE
Raheim Sanders,RB,23,1,South Carolina; Arkansas,CLE
Trayveon Williams,RB,28,7,Texas A&M,CLE
Blake Whiteheart,TE,26,3,Wake Forest,CLE
Brenden Bates,TE,26,2,Kentucky,CLE
Caden Prieskorn,TE,26,1,Mississippi; Memphis,CLE
David Njoku,TE,29,9,Miami,CLE
Harold Fannin Jr.,TE,21,1,Bowling Green,CLE
Jack Stoll,TE,28,5,Nebraska,CLE
Sal Cannella,TE,29,1,Auburn,CLE
Cedric Tillman,WR,26,3,Tennessee,CLE
DeAndre Carter,WR,33,11,Sacramento State,CLE
Gage Larvadain,WR,23,1,South Carolina; Miami (Ohio),CLE
Isaiah Bond,WR,22,1,Texas; Alabama,CLE
Isaiah Wooden,WR,26,0,Southern Utah State; Kent State,CLE
Jamari Thrash,WR,25,2,Louisville; Georgia State,CLE
Jerry Jeudy,WR,27,6,Alabama,CLE
Luke Floriea,WR,24,1,Kent State,CLE
Malachi Corley,WR,24,2,Western Kentucky,CLE
Tylan Wallace,WR,27,5,Oklahoma State,CLE
Dak Prescott,QB,32,10,Mississippi State,DAL
Joe Milton III,QB,26,2,Tennessee; Michigan,DAL
Sam Howell,QB,25,4,North Carolina,DAL
Hunter Luepke,RB,26,3,North Dakota State,DAL
Israel Abanikanda,RB,23,3,Pittsburgh,DAL
Javonte Williams,RB,26,5,North Carolina,DAL
Jaydon Blue,RB,22,1,Texas,DAL
Malik Davis,RB,27,4,Florida,DAL
Miles Sanders,RB,29,7,Penn State,DAL
Phil Mafah,RB,23,1,Clemson,DAL
Brevyn Spann-Ford,TE,26,2,Minnesota,DAL
Jake Ferguson,TE,27,4,Wisconsin,DAL
Luke Schoonmaker,TE,27,3,Michigan,DAL
Princeton Fant,TE,27,3,Tennessee,DAL
CeeDee Lamb,WR,27,6,Oklahoma,DAL
George Pickens,WR,25,4,Georgia,DAL
Jonathan Mingo,WR,25,3,Mississippi,DAL
Jordan Hudson,WR,22,0,--,DAL
KaVontae Turpin,WR,29,4,TCU,DAL
Marquez Valdes-Scantling,WR,31,8,University of South Florida; N.C. State,DAL
Parris Campbell,WR,28,7,Ohio State,DAL
Ryan Flournoy,WR,26,2,Southeast Missouri State; Iowa Western CC,DAL
Traeshon Holden,WR,24,1,Oregon; Alabama,DAL
Tyler Johnson,WR,27,6,Minnesota,DAL
Bo Nix,QB,26,2,Oregon; Auburn,DEN
Jarrett Stidham,QB,29,7,Auburn; McLennan CC; Baylor,DEN
Sam Ehlinger,QB,27,5,Texas,DEN
Adam Prentice,RB,29,5,South Carolina,DEN
Cody Schrader,RB,26,2,Missouri; Truman State University,DEN
Deuce Vaughn,RB,24,3,Kansas State,DEN
J.K. Dobbins,RB,27,6,Ohio State,DEN
Jaleel McLaughlin,RB,25,3,Youngstown State,DEN
RJ Harvey,RB,25,1,UCF; Virginia,DEN
Tyler Badie,RB,27,4,Missouri,DEN
Adam Trautman,TE,29,6,Dayton,DEN
Caleb Lohner,TE,24,1,Utah; Baylor,DEN
Evan Engram,TE,31,9,Mississippi,DEN
Lucas Krull,TE,27,4,Pittsburgh,DEN
Nate Adkins,TE,26,3,South Carolina,DEN
Courtland Sutton,WR,30,8,SMU,DEN
Jaylen Waddle,WR,27,5,Alabama,DEN
Kolbe Katsis,WR,,0,--,DEN
Lil'Jordan Humphrey,WR,28,7,Texas,DEN
Marvin Mims Jr.,WR,24,3,Oklahoma,DEN
Michael Bandy,WR,28,5,San Diego,DEN
Pat Bryant,WR,23,1,Illinois,DEN
Troy Franklin,WR,23,2,Oregon,DEN
Jared Goff,QB,31,10,California,DET
Malik Cunningham,QB,27,3,Louisville,DET
Teddy Bridgewater,QB,33,12,Louisville,DET
Isiah Pacheco,RB,27,4,Rutgers,DET
Jabari Small,RB,24,2,Tennessee,DET
Jacob Saylors,RB,26,3,East Tennessee State,DET
Jahmyr Gibbs,RB,24,3,Alabama; Georgia Tech,DET
Kye Robichaux,RB,23,1,Boston College; Western Kentucky,DET
Sione Vaki,RB,24,2,Utah,DET
Anthony Firkser,TE,31,9,Harvard,DET
Brock Wright,TE,27,5,Notre Dame,DET
Sam LaPorta,TE,25,3,Iowa,DET
Shane Zylstra,TE,29,5,Minnesota State,DET
Thomas Gordon,TE,25,1,Northwestern,DET
Tyler Conklin,TE,30,8,Central Michigan; Northwood,DET
Zach Horton,TE,23,1,Indiana; James Madison,DET
Amon-Ra St. Brown,WR,26,5,USC,DET
Dominic Lovett,WR,23,1,Georgia; Missouri,DET
Greg Dortch,WR,27,7,Wake Forest,DET
Isaac TeSlaa,WR,24,1,Arkansas; Hillsdale,DET
Jackson Meeks,WR,23,1,Syracuse,DET
Jameson Williams,WR,25,4,Alabama; Ohio State,DET
Kendrick Law,WR,22,0,--,DET
Tom Kennedy,WR,29,7,Bryant,DET
Desmond Ridder,QB,26,4,Cincinnati,GB
Jordan Love,QB,27,6,Utah State,GB
Kyle McCord,QB,23,1,Syracuse; Ohio State,GB
