Name,POS,Age,Exp,College,team
Reggie Gilliam,RB,28,6,Toledo,NE
Rhamondre Stevenson,RB,28,5,Oklahoma; Cerritos College,NE
Terrell Jennings,RB,25,2,Florida A&M,NE
TreVeyon Henderson,RB,23,1,Ohio State,NE
CJ Dippre,TE,24,1,Alabama; Maryland,NE
Hunter Henry,TE,31,10,Arkansas,NE
Jack Westover,TE,26,2,Washington,NE
Julian Hill,TE,25,3,Campbell University,NE
Tanner Arkin,TE,22,0,--,NE
DeMario Douglas,WR,25,3,Liberty,NE
Efton Chism III,WR,24,1,Eastern Washington,NE
Jeremiah Webb,WR,24,1,South Alabama; South Dakota,NE
Kayshon Boutte,WR,24,3,LSU,NE
Kyle Williams,WR,23,1,Washington State,NE
Mack Hollins,WR,32,9,North Carolina,NE
Romeo Doubs,WR,26,4,Nevada,NE
Stefon Diggs,WR,32,11,Maryland,NE
Spencer Rattler,QB,25,2,South Carolina; Oklahoma,NO
Taysom Hill,QB,35,9,BYU,NO
Tyler Shough,QB,26,1,Louisville; Texas Tech; Oregon,NO
Zach Wilson,QB,26,5,BYU,NO
Alvin Kamara,RB,30,9,Tennessee; Hutchinson CC; Alabama,NO
Audric Estimé,RB,22,2,Notre Dame,NO
Devin Neal,RB,22,1,Kansas,NO
Kendre Miller,RB,23,3,TCU,NO
Travis Etienne,RB,27,5,Clemson,NO
Ty Chandler,RB,28,4,North Carolina,NO
Juwan Johnson,TE,29,6,Oregon; Penn State,NO
Mason Pline,TE,26,2,Furman; Ferris State,NO
Moliki Matavao,TE,23,1,UCLA,NO
Noah Fant,TE,28,7,Iowa,NO
Treyton Welch,TE,25,2,Wyoming,NO
Zaire Mitchell-Paden,TE,26,4,Florida Atlantic,NO
Bub Means,WR,25,2,Pittsburgh; Louisiana Tech,NO
Chris Olave,WR,25,4,Ohio State,NO
Damien Alford,WR,25,0,--,NO
Dante Pettis,WR,30,8,Washington,NO
Devaughn Vele,WR,28,2,Utah,NO
Ja'Lynn Polk,WR,24,2,Washington; Texas Tech,NO
Kevin Austin Jr.,WR,26,4,Notre Dame,NO
Mason Tipton,WR,25,2,Yale,NO
Ronnie Bell,WR,26,3,Michigan,NO
Trey Palmer,WR,25,3,Nebraska; LSU,NO
Brandon Allen,QB,33,10,Arkansas,NYG
Jameis Winston,QB,32,11,Florida State,NYG
Jaxson Dart,QB,23,1,Mississippi; USC,NYG
Russell Wilson,QB,37,14,Wisconsin; N.C. State,NYG
Cam Skattebo,RB,24,1,Arizona State; Sacramento State,NYG
Dante Miller,RB,27,2,South Carolina; Columbia,NYG
Devin Singletary,RB,28,7,Florida Atlantic,NYG
Eric Gray,RB,26,3,Oklahoma; Tennessee,NYG
Patrick Ricard,RB,31,9,Maine,NYG
Tyrone Tracy Jr.,RB,26,2,Purdue; Iowa,NYG
Chris Manhertz,TE,34,11,Canisius College,NYG
Isaiah Likely,TE,26,4,Coastal Carolina,NYG
Tanner Conner,TE,28,4,Idaho State,NYG
Theo Johnson,TE,25,2,Penn State,NYG
Thomas Fidone II,TE,23,1,Nebraska,NYG
Beaux Collins,WR,23,1,Notre Dame; Clemson,NYG
Bryce Ford-Wheaton,WR,26,3,West Virginia,NYG
Calvin Austin III,WR,27,4,Memphis,NYG
Dalen Cambre,WR,25,1,Louisiana,NYG
Darius Slayton,WR,29,7,Auburn,NYG
Darnell Mooney,WR,28,6,Tulane,NYG
Gunner Olszewski,WR,29,7,Bemidji State University,NYG
Isaiah Hodgins,WR,27,6,Oregon State,NYG
Jalin Hyatt,WR,24,3,Tennessee,NYG
Malachi Fields,WR,23,0,--,NYG
Malik Nabers,WR,22,2,LSU,NYG
Ryan Miller,WR,26,3,Furman,NYG
Xavier Gipson,WR,25,3,Stephen F. Austin State,NYG
Bailey Zappe,QB,27,4,Western Kentucky; Houston Christian University,NYJ
Brady Cook,QB,24,1,Missouri,NYJ
Cade Klubnik,QB,22,0,--,NYJ
Geno Smith,QB,35,13,West Virginia,NYJ
Braelon Allen,RB,22,2,Wisconsin,NYJ
Breece Hall,RB,24,4,Iowa State,NYJ
Isaiah Davis,RB,24,2,South Dakota State,NYJ
Kene Nwangwu,RB,28,5,Iowa State,NYJ
Khalil Herbert,RB,28,5,Virginia Tech,NYJ
Andrew Beck,TE,29,7,Texas,NYJ
Jelani Woods,TE,27,4,Virginia,NYJ
Jeremy Ruckert,TE,25,4,Ohio State,NYJ
Mason Taylor,TE,22,1,LSU,NYJ
Adonai Mitchell,WR,23,2,Texas; Georgia,NYJ
Arian Smith,WR,24,1,Georgia,NYJ
Garrett Wilson,WR,25,4,Ohio State,NYJ
Irvin Charles,WR,29,4,"Indiana PA,  University of; Penn State",NYJ
Isaiah Williams,WR,25,2,Illinois,NYJ
Jamaal Pritchett,WR,22,1,South Alabama; Tuskegee University,NYJ
Josh Reynolds,WR,31,9,Texas A&M; Tyler JC,NYJ
Mac Dalena,WR,24,0,Fresno State,NYJ
Quentin Skinner,WR,24,1,Kansas,NYJ
Andy Dalton,QB,38,15,TCU,PHI
Cole Payton,QB,23,0,--,PHI
Jalen Hurts,QB,27,6,Oklahoma; Alabama,PHI
Tanner McKee,QB,26,3,Stanford,PHI
Carson Steele,RB,23,2,UCLA; Ball State,PHI
Dameon Pierce,RB,26,4,Florida,PHI
Saquon Barkley,RB,29,8,Penn State,PHI
Tank Bigsby,RB,23,3,Auburn,PHI
Will Shipley,RB,23,2,Clemson,PHI
Cameron Latu,TE,26,3,Alabama,PHI
Dallas Goedert,TE,31,8,South Dakota State,PHI
E.J. Jenkins,TE,27,3,Georgia Tech; South Carolina; St. Francis PA,PHI
Grant Calcaterra,TE,27,4,SMU; Oklahoma,PHI
Johnny Mundt,TE,31,9,Oregon,PHI
Stone Smartt,TE,27,4,Old Dominion,PHI
A.J. Brown,WR,28,7,Mississippi,PHI
Britain Covey,WR,29,4,Utah,PHI
Danny Gray,WR,27,4,SMU,PHI
Darius Cooper,WR,24,1,Tarleton State,PHI
DeVonta Smith,WR,27,5,Alabama,PHI
Dontayvion Wicks,WR,24,3,Virginia,PHI
Elijah Moore,WR,26,5,Mississippi,PHI
Johnny Wilson,WR,25,2,Florida State; Arizona State,PHI
Marquise Brown,WR,28,7,Oklahoma; College of the Canyons,PHI
Quez Watkins,WR,27,6,Southern Mississippi,PHI
Aaron Rodgers,QB,42,21,California; Butte College,PIT
Mason Rudolph,QB,30,8,Oklahoma State,PIT
Will Howard,QB,24,1,Ohio State; Kansas State,PIT
Jaylen Warren,RB,27,4,Oklahoma State,PIT
Kaleb Johnson,RB,22,1,Iowa,PIT
Lew Nichols III,RB,24,3,Central Michigan,PIT
Max Hurleman,RB,24,1,Notre Dame; Colgate,PIT
Rico Dowdle,RB,27,6,South Carolina,PIT
Travis Homer,RB,27,7,Miami,PIT
Darnell Washington,TE,24,3,Georgia,PIT
Donald Parham,TE,28,7,Stetson,PIT
JJ Galbreath,TE,24,1,South Dakota,PIT
Jaheim Bell,TE,24,2,Florida State; South Carolina,PIT
Jonnu Smith,TE,30,9,Florida International,PIT
Pat Freiermuth,TE,27,5,Penn State,PIT
Riley Nowakowski,TE,23,0,--,PIT
A.T. Perry,WR,26,3,Wake Forest,PIT
Ben Skowronek,WR,28,5,Notre Dame; Northwestern,PIT
Brandon Johnson,WR,27,4,UCF; Tennessee,PIT
Brandon Smith,WR,27,5,Iowa,PIT
Cole Burgess,WR,26,2,Cortland State Of New York,PIT
DK Metcalf,WR,28,7,Mississippi,PIT
Michael Pittman,WR,28,6,USC,PIT
Roman Wilson,WR,24,2,Michigan,PIT
Scott Miller,WR,28,7,Bowling Green,PIT
Drew Lock,QB,29,7,Missouri,SEA
Jalen Milroe,QB,23,1,Alabama,SEA
Sam Darnold,QB,28,8,USC,SEA
Brady Russell,RB,27,3,Colorado,SEA
Cam Akers,RB,26,6,Florida State,SEA
Emanuel Wilson,RB,27,3,Fort Valley State College,SEA
George Holani,RB,26,2,Boise State,SEA
Jacardia Wright,RB,25,1,Missouri State; Kansas State,SEA
Kenny McIntosh,RB,26,3,Georgia,SEA
Robbie Ouzts,RB,23,1,Alabama,SEA
Zach Charbonnet,RB,25,3,UCLA; Michigan,SEA
AJ Barner,TE,24,2,Michigan; Indiana,SEA
Elijah Arroyo,TE,23,1,Miami,SEA
Eric Saubert,TE,32,9,Drake,SEA
Harrison Bryant,TE,28,6,Florida Atlantic,SEA
Lance Mason,TE,22,0,--,SEA
Nick Kallerup,TE,25,1,Minnesota,SEA
Cody White,WR,27,6,Michigan State,SEA
Cooper Kupp,WR,32,9,Eastern Washington,SEA
Jake Bobo,WR,27,3,UCLA; Duke,SEA
Jaxon Smith-Njigba,WR,24,3,Ohio State,SEA
Montorie Foster Jr,WR,24,1,Michigan State,SEA
Rashid Shaheed,WR,27,4,Weber State,SEA
Ricky White III,WR,24,1,UNLV; Michigan State,SEA
Tory Horton,WR,23,1,Colorado State; Nevada,SEA
Velus Jones Jr.,WR,29,4,Tennessee; USC,SEA
Adrian Martinez,QB,26,2,Kansas State; Nebraska,SF
Brock Purdy,QB,26,4,Iowa State,SF
Kurtis Rourke,QB,25,1,Indiana,SF
Mac Jones,QB,27,5,Alabama,SF
Christian McCaffrey,RB,29,9,Stanford,SF
Isaac Guerendo,RB,25,2,Louisville; Wisconsin,SF
Jordan James,RB,22,1,Oregon,SF
Kyle Juszczyk,RB,35,13,Harvard,SF
Patrick Taylor,RB,28,6,Memphis,SF
Sincere McCormick,RB,25,4,Texas-San Antonio,SF
Brayden Willis,TE,26,3,Oklahoma,SF
George Kittle,TE,32,9,Iowa,SF
Hayden Rucci,TE,25,2,Wisconsin,SF
Jake Tonges,TE,26,4,California,SF
Luke Farrell,TE,28,5,Ohio State,SF
Christian Kirk,WR,29,8,Texas A&M,SF
Colton Dowell,WR,27,3,Tennessee-Martin,SF
De'Zhaun Stribling,WR,23,0,--,SF
Demarcus Robinson,WR,31,10,Florida,SF
Jacob Cowing,WR,25,2,Arizona; Texas-El Paso,SF
Jauan Jennings,WR,28,6,Tennessee,SF
Jordan Watkins,WR,24,1,Mississippi; Louisville,SF
Junior Bergen,WR,23,1,Montana,SF
Malik Turner,WR,30,8,Illinois,SF
Mike Evans,WR,32,12,Texas A&M,SF
Ricky Pearsall,WR,25,2,Florida; Arizona State,SF
Trent Taylor,WR,32,9,Louisiana Tech,SF
Baker Mayfield,QB,31,8,Oklahoma; Texas Tech,TB
Connor Bazelak,QB,25,1,Bowling Green; Indiana; Missouri,TB
Jake Browning,QB,30,7,Washington,TB
Bucky Irving,RB,23,2,Oregon; Minnesota,TB
Josh Williams,RB,25,1,LSU,TB
Kenneth Gainwell,RB,27,5,Memphis,TB
Michael Wiley,RB,24,2,Arizona,TB
Owen Wright,RB,27,3,Monmouth; William & Mary,TB
Sean Tucker,RB,24,3,Syracuse,TB
Cade Otton,TE,27,4,Washington,TB
Devin Culp,TE,26,2,Washington,TB
Ko Kieft,TE,28,4,Minnesota,TB
Payne Durham,TE,25,3,Purdue,TB
Chris Godwin Jr.,WR,30,9,Penn State,TB
David Sills,WR,30,7,West Virginia,TB
Dennis Houston,WR,27,4,Western Illinois,TB
Emeka Egbuka,WR,23,1,Ohio State,TB
Garrett Greene,WR,24,1,West Virginia,TB
Jalen McMillan,WR,24,2,Washington,TB
Kameron Johnson,WR,24,2,Barton College,TB
Noah Short,WR,,0,--,TB
Sterling Shepard,WR,33,10,Oklahoma,TB
Tez Johnson,WR,23,1,Oregon; Troy,TB
Cam Ward,QB,23,1,Miami; Washington State; Incarnate Word,TEN
Hendon Hooker,QB,28,3,Tennessee; Virginia Tech,TEN
Mitchell Trubisky,QB,31,9,North Carolina,TEN
Will Levis,QB,26,3,Kentucky; Penn State,TEN
Julius Chestnut,RB,25,4,Sacred Heart University,TEN
Kalel Mullings,RB,23,1,Michigan,TEN
Michael Carter,RB,27,5,North Carolina,TEN
Tony Pollard,RB,29,7,Memphis,TEN
Tyjae Spears,RB,24,3,Tulane,TEN
Daniel Bellinger,TE,25,4,San Diego State,TEN
David Martin-Robinson,TE,26,2,Temple,TEN
Gunnar Helm,TE,23,1,Texas,TEN
Joel Wilson,TE,25,3,Central Michigan,TEN
Kylen Granson,TE,28,5,SMU,TEN
Bryce Oliver,WR,25,2,Youngstown State; Kentucky,TEN
Calvin Ridley,WR,31,8,Alabama,TEN
Chimere Dike,WR,24,1,Florida; Wisconsin,TEN
Courtney Jackson,WR,25,1,Arkansas State,TEN
Elic Ayomanor,WR,22,1,Stanford,TEN
James Proche,WR,29,6,SMU,TEN
K.J. Osborn,WR,28,6,Miami; Buffalo,TEN
Lance McCutcheon,WR,27,4,Montana State,TEN
Mason Kinsey,WR,27,6,Berry College,TEN
Tyren Montgomery,WR,24,0,--,TEN
Wan'Dale Robinson,WR,25,4,Kentucky,TEN
Xavier Restrepo,WR,24,1,Miami,TEN
Jayden Daniels,QB,25,2,LSU; Arizona State,WAS
Jeff Driskel,QB,33,10,Louisiana Tech; Florida,WAS
Marcus Mariota,QB,32,11,Oregon,WAS
Sam Hartman,QB,26,2,Notre Dame; Wake Forest,WAS
Austin Ekeler,RB,30,9,Western State,WAS
Chase Edmonds,RB,30,8,Fordham,WAS
Jacory Croskey-Merritt,RB,25,1,Arizona; New Mexico; Alabama State,WAS
Jeremy McNichols,RB,30,9,Boise State,WAS
Jerome Ford,RB,26,4,Cincinnati; Alabama,WAS
Nick Bellore,RB,37,15,Central Michigan,WAS
Rachaad White,RB,27,4,Arizona State; Mt. San Antonio; Kearney State,WAS
Ben Sinnott,TE,23,2,Kansas State,WAS
Chig Okonkwo,TE,26,4,Maryland,WAS
Colson Yankoff,TE,26,2,UCLA; Washington,WAS
John Bates,TE,28,5,Boise State,WAS
Lawrence Cager,TE,28,6,Georgia; Miami,WAS
Tyree Jackson,TE,28,5,Buffalo,WAS
Zach Ertz,TE,35,13,Stanford,WAS
Chris Hilton Jr.,WR,,0,--,WAS
Chris Moore,WR,32,10,Cincinnati,WAS
Deebo Samuel Sr.,WR,30,7,South Carolina,WAS
Dyami Brown,WR,26,5,North Carolina,WAS
Ja'Corey Brooks,WR,24,1,Louisville,WAS
Jacoby Jones,WR,24,1,UCF; Ohio,WAS
Jaylin Lane,WR,24,1,Virginia Tech; Middle Tennessee State,WAS
Luke McCaffrey,WR,25,2,Rice; Nebraska,WAS
Nick Nash,WR,26,1,San Jose State,WAS
Noah Brown,WR,30,9,Ohio State,WAS
Terry McLaurin,WR,30,7,Ohio State,WAS
Treylon Burks,WR,26,4,Arkansas,WAS
Van Jefferson,WR,29,6,Florida; Mississippi,WAS
