"","X","Name","POS","Age","Exp","College","team","GP","ATT","CMP","PCT","YDS","AVG","TD","TDPCT","INT","INTPCT","RYD","RATT","RTD","RAVG","FUM","TPC","FPTS"
"1",1,"David Blough","QB","27","4","Purdue","ARI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.14
"2",2,"Jeff Driskel","QB","30","8","Louisiana Tech","ARI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.14
"3",3,"Colt McCoy","QB","36","14","Texas","ARI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.14
"4",4,"Kyler Murray","QB","25","5","Oklahoma","ARI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.14
"5",5,"Clayton Tune","QB","--","R","Houston","ARI",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.14
