player_name,recent_team,pos,g,p_att,cmp,p_yd,p_td,int,car,r_yd,r_td,tgt,rec,rec_yd,rec_td,fmb,tp_c,f_ppr,tgt_share,ypc,ypr,cmp_pct,td_rate
T.Boyle,MIA,QB,2,26.0,15.0,153.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.119999999999999,0.0,5.0,,0.5769230769230769,0.0
T.Huntley,MIA,QB,5,133.0,86.0,829.0,3.0,3.0,26.0,135.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,60.66,0.0,5.1923076923076925,,0.6466165413533834,0.022556390977443608
T.Tagovailoa,MIA,QB,11,399.0,291.0,2867.0,19.0,7.0,17.0,49.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,181.57999999999998,0.0,2.8823529411764706,,0.7293233082706767,0.047619047619047616
D.Achane,MIA,RB,17,0.0,0.0,0.0,0.0,0.0,203.0,907.0,6.0,87.0,78.0,592.0,6.0,0.0,0.0,299.9,,4.467980295566503,7.589743589743589,,
J.Wilson,MIA,RB,7,0.0,0.0,0.0,0.0,0.0,16.0,57.0,0.0,3.0,3.0,19.0,0.0,0.0,0.0,10.6,,3.5625,6.333333333333333,,
J.Wright,MIA,RB,13,0.0,0.0,0.0,0.0,0.0,68.0,249.0,0.0,6.0,3.0,8.0,0.0,1.0,0.0,26.7,,3.661764705882353,2.6666666666666665,,
R.Mostert,MIA,RB,12,0.0,0.0,0.0,0.0,0.0,85.0,278.0,2.0,23.0,19.0,161.0,0.0,2.0,0.0,70.9,,3.2705882352941176,8.473684210526315,,
D.Smythe,MIA,TE,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,53.0,0.0,0.0,0.0,14.3,,,5.888888888888889,,
J.Hill,MIA,TE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,12.0,100.0,0.0,0.0,0.0,22.0,,,8.333333333333334,,
J.Smith,MIA,TE,17,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,111.0,88.0,884.0,8.0,0.0,0.0,222.3,,-0.5,10.045454545454545,,
B.Berrios,MIA,WR,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
D.Eskridge,MIA,WR,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,44.0,0.0,0.0,0.0,7.4,,,14.666666666666666,,
E.Ezukanma,MIA,WR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
G.DuBose,MIA,WR,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,11.0,0.0,0.0,0.0,3.0999999999999996,,,5.5,,
J.Waddle,MIA,WR,15,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,83.0,58.0,744.0,2.0,0.0,2.0,149.6,,3.0,12.827586206896552,,
M.Washington,MIA,WR,12,0.0,0.0,0.0,0.0,0.0,5.0,25.0,1.0,36.0,26.0,223.0,0.0,0.0,0.0,56.8,,5.0,8.576923076923077,,
O.Beckham,MIA,WR,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,9.0,55.0,0.0,0.0,0.0,14.5,,,6.111111111111111,,
R.Chosen,MIA,WR,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,1.5,,,5.0,,
R.Cracraft,MIA,WR,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,66.0,0.0,0.0,0.0,13.6,,,9.428571428571429,,
T.Conner,MIA,WR,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,16.0,0.0,0.0,0.0,4.6,,,5.333333333333333,,
T.Hill,MIA,WR,17,0.0,0.0,0.0,0.0,0.0,8.0,53.0,0.0,122.0,81.0,959.0,6.0,0.0,0.0,218.2,,6.625,11.839506172839506,,
C.Ham,MIN,FB,5,0.0,0.0,0.0,0.0,0.0,2.0,10.0,1.0,6.0,5.0,35.0,0.0,0.0,0.0,13.5,,5.0,7.0,,
N.Mullens,MIN,QB,4,2.0,2.0,38.0,0.0,0.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,-0.6666666666666666,,1.0,0.0
S.Darnold,MIN,QB,17,545.0,361.0,4319.0,35.0,12.0,67.0,212.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,307.96,0.0,3.1641791044776117,,0.6623853211009174,0.06422018348623854
A.Jones,MIN,RB,17,0.0,0.0,0.0,0.0,0.0,255.0,1138.0,5.0,62.0,51.0,408.0,2.0,1.0,0.0,241.6,,4.462745098039216,8.0,,
C.Akers,MIN,RB,10,0.0,0.0,0.0,0.0,0.0,64.0,297.0,1.0,11.0,10.0,52.0,2.0,0.0,0.0,62.9,,4.640625,5.2,,
M.Gaskin,MIN,RB,2,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,0.0,1.0,1.0,11.0,0.0,0.0,0.0,1.9999999999999998,,-0.3333333333333333,11.0,,
T.Chandler,MIN,RB,10,0.0,0.0,0.0,0.0,0.0,56.0,182.0,0.0,6.0,6.0,42.0,0.0,0.0,0.0,28.4,,3.25,7.0,,
J.Mundt,MIN,TE,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,19.0,142.0,2.0,0.0,0.0,45.199999999999996,,,7.473684210526316,,
