"","player_name","recent_team","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","tgt","rec","rec_yd","rec_td","fmb","tp_c","f_ppr","tgt_share","ypc","ypr","cmp_pct","td_rate"
"1","C.Tune","ARI","QB",6,21,12,62,0,2,8,30,1,0,0,0,0,1,1,7.48,0,3.75,NA,0.571428571428571,0
"2","J.Dobbs","ARI","QB",8,266,167,1569,8,5,47,258,3,0,0,0,0,3,2,126.56,0,5.48936170212766,NA,0.62781954887218,0.0300751879699248
"3","K.Murray","ARI","QB",8,268,176,1799,10,5,44,244,3,0,0,0,0,0,1,146.36,0,5.54545454545455,NA,0.656716417910448,0.0373134328358209
"4","D.Williams","ARI","RB",3,0,0,0,0,0,11,43,0,2,2,12,0,0,0,7.5,0.00314465408805031,3.90909090909091,6,NA,NA
"5","E.Demercado","ARI","RB",11,0,0,0,0,0,58,284,2,30,21,119,0,0,0,73.3,0.0471698113207547,4.89655172413793,5.66666666666667,NA,NA
"6","J.Conner","ARI","RB",13,0,0,0,0,0,208,1040,7,33,27,165,2,0,0,201.5,0.0518867924528302,5,6.11111111111111,NA,NA
"7","K.Ingram","ARI","RB",7,0,0,0,0,0,35,74,0,4,4,26,0,0,0,14,0.00628930817610063,2.11428571428571,6.5,NA,NA
"8","M.Carter","ARI","RB",6,0,0,0,0,0,22,149,0,11,9,33,1,0,0,33.2,0.0172955974842767,6.77272727272727,3.66666666666667,NA,NA
"9","T.Jones","ARI","RB",3,0,0,0,0,0,5,25,0,4,3,16,0,0,0,7.1,0.00628930817610063,5,5.33333333333333,NA,NA
"10","E.Higgins","ARI","TE",9,0,0,0,0,0,0,0,0,19,14,163,1,0,0,36.3,0.029874213836478,NA,11.6428571428571,NA,NA
"11","G.Swaim","ARI","TE",7,0,0,0,0,0,0,0,0,11,10,94,0,0,0,19.4,0.0172955974842767,NA,9.4,NA,NA
"12","T.McBride","ARI","TE",17,0,0,0,0,0,0,0,0,106,81,825,3,0,0,181.5,0.166666666666667,NA,10.1851851851852,NA,NA
