"","player_name","recent_team","pos","g","p_att","cmp","p_yd","p_td","int","car","r_yd","r_td","tgt","rec","rec_yd","rec_td","fmb","tp_c","f_ppr","tgt_share","ypc","ypr","cmp_pct","td_rate"
"559","L.Fournette","TB","RB",16,1,0,0,0,1,189,668,3,83,73,523,3,0,0,226.1,0.162109375,3.53439153439153,7.16438356164384,0,0
"560","R.White","TB","RB",16,0,0,0,0,0,129,481,1,58,50,290,2,1,0,141.1,0.11328125,3.72868217054264,5.8,NA,NA
"561","C.Brate","TB","TE",9,0,0,0,0,0,0,0,0,38,20,174,0,0,0,37.4,0.07421875,NA,8.7,NA,NA
"562","C.Otton","TB","TE",14,0,0,0,0,0,0,0,0,65,42,391,2,0,0,93.1,0.126953125,NA,9.30952380952381,NA,NA
"563","K.Kieft","TB","TE",8,0,0,0,0,0,0,0,0,10,7,80,1,0,0,21,0.01953125,NA,11.4285714285714,NA,NA
"564","K.Rudolph","TB","TE",5,0,0,0,0,0,0,0,0,5,3,28,1,0,0,11.8,0.009765625,NA,9.33333333333333,NA,NA
"565","B.Perriman","TB","WR",8,0,0,0,0,0,2,-7,0,19,9,110,1,0,0,23.3,0.037109375,-3.5,12.2222222222222,NA,NA
"566","C.Beasley","TB","WR",2,0,0,0,0,0,0,0,0,5,4,17,0,0,0,5.7,0.009765625,NA,4.25,NA,NA
"567","C.Godwin","TB","WR",15,0,0,0,0,0,3,5,0,142,104,1023,3,0,0,222.8,0.27734375,1.66666666666667,9.83653846153846,NA,NA
"568","D.Thompkins","TB","WR",2,0,0,0,0,0,2,26,0,10,5,32,0,0,0,10.8,0.01953125,13,6.4,NA,NA
"569","J.Darden","TB","WR",3,0,0,0,0,0,1,2,0,2,2,26,0,0,0,4.8,0.00390625,2,13,NA,NA
"570","J.Jones","TB","WR",10,0,0,0,0,0,5,45,0,43,24,299,2,0,0,70.4,0.083984375,9,12.4583333333333,NA,NA
"571","M.Evans","TB","WR",15,0,0,0,0,0,0,0,0,127,77,1124,6,0,0,225.4,0.248046875,NA,14.5974025974026,NA,NA
"572","R.Gage","TB","WR",13,0,0,0,0,0,0,0,0,70,51,426,5,0,0,123.6,0.13671875,NA,8.35294117647059,NA,NA
"573","S.Miller","TB","WR",11,0,0,0,0,0,1,8,0,40,23,185,0,0,0,42.3,0.078125,8,8.04347826086956,NA,NA
"574","J.Dobbs","TEN","QB",2,68,40,411,2,2,8,44,0,0,0,0,0,2,0,20.84,0,5.5,NA,0.588235294117647,0.0294117647058824
"575","M.Willis","TEN","QB",7,61,31,276,0,3,27,123,1,0,0,0,0,2,0,19.34,0,4.55555555555556,NA,0.508196721311475,0
"576","R.Tannehill","TEN","QB",12,325,212,2536,14,6,34,98,2,0,0,0,0,2,1,165.24,0,2.88235294117647,NA,0.652307692307692,0.0430769230769231
"577","D.Henry","TEN","RB",16,2,2,4,1,0,349,1538,13,41,33,398,0,2,0,302.76,0.0545938748335553,4.40687679083095,12.0606060606061,1,0.5
"578","D.Hilliard","TEN","RB",11,0,0,0,0,0,22,145,0,26,21,177,4,0,0,77.2,0.0346205059920107,6.59090909090909,8.42857142857143,NA,NA
"579","H.Haskins","TEN","RB",7,0,0,0,0,0,25,93,0,12,11,57,0,0,0,26,0.0159786950732357,3.72,5.18181818181818,NA,NA
"580","J.Chestnut","TEN","RB",3,0,0,0,0,0,9,12,0,3,3,41,0,0,0,8.3,0.00399467376830892,1.33333333333333,13.6666666666667,NA,NA
"581","J.Ward","TEN","RB",2,0,0,0,0,0,5,25,0,3,2,7,0,0,0,5.2,0.00399467376830892,5,3.5,NA,NA
"582","A.Hooper","TEN","TE",17,0,0,0,0,0,0,0,0,60,41,444,2,0,0,97.4,0.0798934753661784,NA,10.8292682926829,NA,NA
"583","C.Okonkwo","TEN","TE",15,0,0,0,0,0,3,2,0,46,32,450,3,0,0,97.2,0.0612516644474035,0.666666666666667,14.0625,NA,NA
"584","G.Swaim","TEN","TE",11,0,0,0,0,0,0,0,0,16,12,58,1,0,0,23.8,0.0213049267643142,NA,4.83333333333333,NA,NA
"585","C.Board","TEN","WR",1,0,0,0,0,0,0,0,0,1,1,6,0,0,0,1.6,0.00133155792276964,NA,6,NA,NA
