"","player_id","player_name","player_display_name","position","position_group","headshot_url","recent_team","season","week","season_type","completions","attempts","passing_yards","passing_tds","interceptions","sacks","sack_yards","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_yards_after_catch","passing_first_downs","passing_epa","passing_2pt_conversions","pacr","dakota","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","rushing_epa","rushing_2pt_conversions","receptions","targets","receiving_yards","receiving_tds","receiving_fumbles","receiving_fumbles_lost","receiving_air_yards","receiving_yards_after_catch","receiving_first_downs","receiving_epa","receiving_2pt_conversions","racr","target_share","air_yards_share","wopr","special_teams_tds","fantasy_points","fantasy_points_ppr"
"1","00-0019596","T.Brady","Tom Brady","QB","QB","https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le","TB",2022,1,"REG",18,27,212,1,1,2,17,0,0,305,87,9,1.05085355477425,0,0.695081967213115,0.0756322575381053,2,-1,0,0,0,0,-1.43716751458123,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,10.38,10.38
"2","00-0019596","T.Brady","Tom Brady","QB","QB","https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le","TB",2022,2,"REG",18,34,190,1,0,1,2,0,0,318,81,8,2.42870697546058,0,0.59748427672956,-0.0207273893373794,3,-2,0,1,1,0,-7.11540677567245,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,9.4,9.4
"3","00-0019596","T.Brady","Tom Brady","QB","QB","https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le","TB",2022,3,"REG",31,42,271,1,0,3,20,0,0,236,124,15,1.07674930043365,0,1.14830508474576,0.0859627433357744,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,14.74,14.74
"4","00-0019596","T.Brady","Tom Brady","QB","QB","https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le","TB",2022,4,"REG",39,52,385,3,0,1,12,1,1,326,205,23,9.51133412883449,0,1.18098159509202,0.153674487611538,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,25.4,25.4
"5","00-0019596","T.Brady","Tom Brady","QB","QB","https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le","TB",2022,5,"REG",35,52,351,1,0,0,0,0,0,356,178,17,12.9895898019221,1,0.985955056179775,0.160237385539752,3,-3,0,0,0,0,-3.33603642415255,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,19.74,19.74
"6","00-0019596","T.Brady","Tom Brady","QB","QB","https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le","TB",2022,6,"REG",25,40,243,1,0,2,14,1,0,302,87,11,8.71979103205027,0,0.804635761589404,0.117122652170341,1,0,0,0,0,0,-1.1183694647043,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,13.72,13.72
"7","00-0019596","T.Brady","Tom Brady","QB","QB","https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le","TB",2022,7,"REG",32,49,290,0,0,1,14,0,0,295,134,14,-2.37553232737824,0,0.983050847457627,0.0247483567247162,1,1,0,0,0,0,-0.569582178955898,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,11.7,11.7
"8","00-0019596","T.Brady","Tom Brady","QB","QB","https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le","TB",2022,8,"REG",26,44,325,1,0,3,20,0,0,288,177,13,4.88281207040607,0,1.12847222222222,0.0762621410717683,1,1,0,0,0,0,-1.01517670265241,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,17.1,17.1
"9","00-0019596","T.Brady","Tom Brady","QB","QB","https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le","TB",2022,9,"REG",36,58,280,1,0,1,8,0,0,271,127,15,-4.88304228540223,0,1.03321033210332,0.00052377814895592,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,15.2,15.2
"10","00-0019596","T.Brady","Tom Brady","QB","QB","https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le","TB",2022,10,"REG",22,29,258,2,1,0,0,0,0,248,102,15,15.3084523226176,0,1.04032258064516,0.283700098299201,6,-3,0,0,0,0,-2.94423849217128,0,0,1,0,0,0,0,16,0,0,-4.7260164351901,0,0,0.0344827586206897,0.0613026819923372,0.0946360153256705,0,16.02,16.02
"11","00-0019596","T.Brady","Tom Brady","QB","QB","https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le","TB",2022,12,"REG",29,43,246,2,0,3,17,0,0,374,168,9,-1.70760845429577,0,0.657754010695187,0.055163785503817,1,2,0,0,0,1,1.53526952583343,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,18.04,18.04
"12","00-0019596","T.Brady","Tom Brady","QB","QB","https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le","TB",2022,13,"REG",36,54,281,2,1,1,7,0,0,307,150,19,0.434906853867137,0,0.915309446254072,0.0577221020945159,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,17.14,17.14
"13","00-0019596","T.Brady","Tom Brady","QB","QB","https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le","TB",2022,14,"REG",34,55,253,1,2,0,0,0,0,355,108,14,-9.46674129713582,0,0.712676056338028,0.0180478502604689,2,0,0,0,0,0,-1.85083113028668,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,10.12,10.12
"14","00-0019596","T.Brady","Tom Brady","QB","QB","https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le","TB",2022,15,"REG",30,44,312,3,2,1,8,1,1,314,125,18,5.46805775330464,0,0.993630573248408,0.0766102938425202,2,1,0,1,1,0,-7.36188647503917,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,16.58,16.58
"15","00-0019596","T.Brady","Tom Brady","QB","QB","https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le","TB",2022,16,"REG",32,48,281,1,2,0,0,0,0,227,222,15,-1.85597578163181,0,1.23788546255507,0.01691073786919,2,1,0,0,0,1,1.49323345941957,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,11.34,11.34
"16","00-0019596","T.Brady","Tom Brady","QB","QB","https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le","TB",2022,17,"REG",34,45,432,3,0,3,21,0,0,352,185,17,17.3247825206482,1,1.22727272727273,0.241979698351774,3,4,1,0,0,3,3.25087142086704,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,37.68,37.68
"17","00-0019596","T.Brady","Tom Brady","QB","QB","https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le","TB",2022,18,"REG",13,17,84,1,0,0,0,0,0,70,55,5,2.99913360318169,0,1.2,0.14698776157061,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,7.36,7.36
"18","00-0019596","T.Brady","Tom Brady","QB","QB","https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le","TB",2022,19,"POST",35,66,351,2,1,2,17,1,0,360,192,20,-3.68478712637443,1,0.975,-0.0374351752405733,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,22.04,22.04
"19","00-0022824","A.Lee","Andy Lee","P","SPEC","https://static.www.nfl.com/image/private/f_auto,q_auto/league/bfozbs2h9jueavslvw3z","ARI",2022,16,"REG",1,1,4,0,0,0,0,0,0,0,4,1,2.86447695572861,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0.16,0.16
